26,JGA724,Berlin,Madrid,Airbus A320,200,3
35,AAR100,Minsk,Moscow,Boeing 737,210,3
2,AGA566,Boston,Honolulu,Boeing 747,280,8
17,ATA808,Lisbon,Mexico City,Boeing 757,300,12
1,KLM155,Milan,Moscow,Airbus A330,230,6
23,AAS836,Vienna,Havana,Boeing 787,242,8
40,AAE997,Lisbon,Rome,Lockheed 1011,400,3
38,AMA745,Frankfurt,New York,Airbus 380,475,10
26,JGA108,Mexico City,Brussels,Lockheed 1011,400,15
19,ALT117,Johannesburg,Hamburg,Airbus 380,475,8
8,SA502,Vienna,Minsk,Airbus 380,475,8
17,ATA897,Sydney,Stockholm,Airbus A330,230,18
28,ANZ771,Manchester,Sydney,Boeing 787,242,22
35,AAR402,Sydney,Bocota,Lockheed 1011,400,14
45,AL860,Phoenix,Kolkata,Boeing 737,210,16
34,ASA291,Tokyo,Hamburg,Boeing 747,280,19
46,SCR708,Johannesburg,Havana,Boeing 757,300,10
41,ADA668,Havana,Buenos Aires,Airbus A330,230,16
51,AKA859,Frankfurt,Barcelona,Boeing 787,242,2
33,AS312,Milan,Alexandria,Lockheed 1011,400,19
36,AAR735,Johannesburg,Stockholm,Airbus 380,475,7
26,JGA687,Sydney,Vienna,Boeing 747,280,18
22,JA957,Rio De Janeiro,Vienna,Boeing 757,300,16
1,KLM688,San Francisco,Moscow,Boeing 737,210,8
3,AF804,Vancouver,Hamburg,Boeing 747,280,12
45,AL505,Frankfurt,Milan,Airbus A320,200,13
29,AC220,Mexico City,Rome,Boeing 737,210,14
11,AB950,Buenos Aires,Paris,Boeing 747,280,16
4,DA291,Madrid,Buenos Aires,Boeing 757,300,17
26,JGA487,Berlin,Minsk,Airbus A330,230,12
43,AUA113,Bocota,Beijing,Boeing 787,242,6
36,AAR324,Madrid,Seattle,Airbus 380,475,10
1,KLM183,Stockholm,Moscow,Airbus A320,200,7
26,JGA307,Manchester,New York,Airbus A320,200,14
13,EA989,Rio De Janeiro,Saint Petersburg,Airbus A320,200,17
