0,10,KLM183,1, 
1,22,JGA724,5, 
2,21,EA989,5, 
3,11,ARM888,4, 
4,18,IB333,1, 
5,8,CA847,4, 
6,11,VA876,1, 
7,42,AL747,0, 
8,26,EA997,5, 
9,10,VGA781,4, 
10,20,AAR586,5, 
11,12,AUA920,0, 
12,8,CSA439,2, 
13,38,IB788,3, 
14,24,SCR633,1, 
15,27,AMA889,3, 
16,13,AS312,5, 
17,17,AS312,2, 
18,17,AS312,0, 
19,3,AS312,0, 
20,38,AS312,3, 
21,9,AS312,0, 
22,19,AS312,1, 
23,17,AS312,2, 
24,7,AS312,5, 
25,15,AS312,0, 
26,36,AS312,2, 
27,36,AS312,2, 
28,41,AS312,5, 
29,20,AS312,5, 
30,50,AS312,5, 
31,46,AS312,3, 
32,19,AS312,3, 
33,34,AS312,0, 
34,19,KLM155,1, 
35,32,AAS836,0, 
36,34,AAE997,4, 
37,42,AMA745,4, 
38,14,JGA108,5, 
39,39,ALT117,2, 
40,17,SA502,0, 
41,2,ATA897,5, 
42,4,ANZ771,5, 
43,10,AAR402,3, 
44,1,AL860,5, 
45,4,ASA291,2, 
46,39,SCR708,0, 
47,10,ADA668,2, 
48,47,AKA859,3, 
49,9,AS312,1, 
50,28,AAR735,4, 
51,2,JGA687,3, 
52,40,JA957,2, 
53,5,KLM688,4, 
54,40,AF804,0, 
55,10,AL505,2, 
56,46,AC220,4, 
57,5,AB950,1, 
58,9,DA291,1, 
59,29,JGA487,4, 
60,45,AUA113,2, 
61,31,AAR324,3, 
62,16,KLM183,2, 
63,39,JGA307,5, 
64,36,IB567,3, 
65,5,IB567,1, 
66,11,IB567,3, 
67,25,IB567,3, 
68,45,IB567,3, 
69,23,IB567,4, 
70,42,IB567,5, 
71,29,IB567,4, 
72,8,IB567,3, 
73,25,IB567,5, 
74,1,IB567,2, 
75,12,IB567,0, 
76,6,IB567,4, 
77,35,IB567,0, 
78,11,IB567,1, 
79,50,IB567,1, 
80,2,IB567,2, 
81,15,IB567,3, 
82,19,IB567,5, 
83,2,IB567,4, 
84,8,IB567,4, 
85,14,IB567,3, 
86,43,IB567,1, 
87,0,IB567,0, 
88,42,IB567,3, 
89,0,IB567,3, 
90,42,IB567,5, 
91,46,IB567,1, 
92,38,IB567,1, 
93,29,IB567,3, 
94,49,IB567,3, 
95,19,ANZ771,4, 
96,50,AAR402,3, 
97,24,AL860,4, 
98,30,ASA291,5, 
99,16,SCR708,3, 
100,29,ADA668,2, 
101,9,AKA859,5, 
102,28,AS312,2, 
103,38,AAR735,1, 
104,5,JGA687,5, 
105,7,JA957,3, 
106,15,KLM688,2, 
107,11,AF804,0, 
